
=== GATE SWEEP (P2.3 derivation — pick from x-feed's own pool) ===
snapshots=1  max_top=5 max_also=5
 top  also |  avg_vol  good_drop  bad_drop  added
  50    40 |     10.0          6         2      8
  50    42 |     10.0          6         2      8
  50    45 |     10.0          6         2      8
  50    48 |     10.0          6         2      8
  50    50 |     10.0          6         2      8
  52    40 |     10.0          6         2      8
  52    42 |     10.0          6         2      8
  52    45 |     10.0          6         2      8
  52    48 |     10.0          6         2      8
  52    50 |     10.0          6         2      8
  55    40 |     10.0          6         2      8
  55    42 |     10.0          6         2      8
  55    45 |     10.0          6         2      8
  55    48 |     10.0          6         2      8
  55    50 |     10.0          6         2      8
  58    40 |     10.0          6         2      8
  58    42 |     10.0          6         2      8
  58    45 |     10.0          6         2      8
  58    48 |     10.0          6         2      8
  58    50 |     10.0          6         2      8
  60    40 |     10.0          6         2      8
  60    42 |     10.0          6         2      8
  60    45 |     10.0          6         2      8
  60    48 |     10.0          6         2      8
  60    50 |     10.0          6         2      8
  62    40 |     10.0          6         2      8
  62    42 |     10.0          6         2      8
  62    45 |     10.0          6         2      8
  62    48 |     10.0          6         2      8
  62    50 |     10.0          6         2      8
  65    40 |     10.0          6         2      8
  65    42 |     10.0          6         2      8
  65    45 |     10.0          6         2      8
  65    48 |     10.0          6         2      8
  65    50 |     10.0          6         2      8

Pick the pair with target volume (Ace: same as legacy ≈ today's count),
maximal good_drops, and ZERO bad_drops. Feed it to select_digest.py
--top-gate/--also-gate at P2.4.
